k,eval_loss,eval_blue,eval_chrf,epoch
40,0.9278148412704468,0.7853,11.5201,0.09
40,0.8231634497642517,0.2399,11.5642,0.18
40,0.7734698057174683,0.1884,13.2798,0.27
40,0.7433428764343262,0.289,14.5377,0.36
40,0.7226431369781494,0.3316,14.794,0.45
40,0.7069806456565857,0.3806,15.2357,0.54
40,0.6937379837036133,0.3154,15.616,0.63
40,0.6825971603393555,0.402,16.5046,0.72
40,0.6725361943244934,0.411,16.6021,0.81
40,0.6639253497123718,0.3015,17.1943,0.9
40,0.6568529605865479,0.4211,17.8252,0.99
40,0.6489843130111694,0.4441,18.3971,1.08
40,0.642039954662323,0.4407,18.8088,1.18
40,0.6361618041992188,0.5369,19.2326,1.27
40,0.6301609873771667,0.512,19.7579,1.36
40,0.6239436864852905,0.5639,20.1563,1.45
40,0.6191452741622925,0.5211,20.7364,1.54
40,0.6134650707244873,0.7775,21.3953,1.63
40,0.6086527705192566,0.696,21.2283,1.72
40,0.6043750047683716,0.732,21.5368,1.81
40,0.5994760394096375,0.7427,21.7062,1.9
40,0.5954012274742126,0.7231,21.7736,1.99
40,0.5906022191047668,0.8538,22.24,2.08
40,0.5863720178604126,0.8839,22.4173,2.17
40,0.5824468731880188,0.8281,22.9807,2.26
40,0.5786098837852478,0.8944,22.8454,2.35
40,0.5753942728042603,0.5707,23.0566,2.44
40,0.5713650584220886,0.9313,23.44,2.53
40,0.5686715841293335,0.9375,23.8348,2.62
40,0.5652145147323608,0.8937,23.8125,2.71
40,0.5618935823440552,0.611,23.4966,2.8
40,0.5583595633506775,0.7807,24.2701,2.89
40,0.5553638935089111,0.6147,24.275,2.98
40,0.5529240965843201,0.6857,24.8292,3.07
40,0.5495391488075256,1.048,24.7773,3.16
40,0.5478870272636414,0.7311,25.0649,3.25
40,0.5455548167228699,1.26,25.7873,3.34
40,0.5432852506637573,1.1248,25.6285,3.43
40,0.5411890149116516,0.9491,25.9591,3.53
40,0.5392071604728699,1.1765,25.851,3.62
40,0.5365539193153381,1.0397,26.2359,3.71
40,0.5349864363670349,1.2626,26.5781,3.8
10,8.925552368164062,0.939,11.8729,0.09
10,7.919479846954346,0.9664,11.781,0.18
10,6.883057117462158,0.8829,11.6758,0.27
10,5.755241870880127,0.8843,11.5684,0.36
10,4.544403076171875,0.8652,11.4054,0.45
10,3.371690034866333,0.6904,11.3255,0.54
20,2.972236156463623,0.9308,11.814,0.09
20,1.188040852546692,0.8685,11.6846,0.18
20,1.093207597732544,0.8148,11.4806,0.27
20,1.0425832271575928,0.7206,11.2905,0.36
20,1.007710337638855,0.6472,11.0867,0.45
20,0.9802261590957642,0.53,10.513,0.54
30,1.0515968799591064,0.9283,11.7645,0.09
30,0.9490179419517517,0.8798,11.533,0.18
30,0.8863095641136169,0.5757,11.1388,0.27
30,0.8400589227676392,0.2088,11.1723,0.36
30,0.8085684776306152,0.1558,11.8155,0.45
30,0.785972535610199,0.2941,12.7228,0.54
30,0.7684504985809326,0.3,13.5452,0.63
30,0.7545071840286255,0.3107,14.482,0.72
30,0.742692232131958,0.2853,14.8197,0.81
30,0.7331770062446594,0.2517,15.1279,0.9
30,0.7249125838279724,0.1917,15.2298,0.99
30,0.7171053290367126,0.1168,15.2917,1.08
30,0.7102712988853455,0.1183,15.2671,1.18
30,0.7041437029838562,0.1194,15.45,1.27
30,0.6984758973121643,0.1229,15.5324,1.36
30,0.6923818588256836,0.2327,15.9639,1.45
30,0.6875786185264587,0.2417,16.0874,1.54
30,0.682731032371521,0.2501,16.4667,1.63
30,0.6786155104637146,0.2272,16.5233,1.72
30,0.674363911151886,0.2431,16.6877,1.81
30,0.6703206300735474,0.1254,16.6404,1.9
30,0.6669039726257324,0.1637,17.2389,1.99
30,0.6627442240715027,0.2801,17.5863,2.08
30,0.6589899659156799,0.2808,17.7327,2.17
30,0.6556177735328674,0.2605,18.1009,2.26
30,0.6523550152778625,0.4114,18.2943,2.35
30,0.6494113802909851,0.297,18.4928,2.44
30,0.6464411616325378,0.2975,18.636,2.53
30,0.6439638733863831,0.3344,18.7266,2.62
30,0.6410873532295227,0.3163,18.932,2.71
30,0.638523280620575,0.3404,19.3834,2.8
30,0.6353347301483154,0.3887,19.5944,2.89
30,0.6327850818634033,0.4004,19.8008,2.98
30,0.6303999423980713,0.3838,19.8527,3.07
30,0.6277573108673096,0.3752,20.0612,3.16
30,0.6257309913635254,0.4452,20.1601,3.25
30,0.6232792735099792,0.4305,20.2813,3.34
30,0.6210193037986755,0.3889,20.6298,3.43
30,0.6193868517875671,0.5911,20.7396,3.53
30,0.6170244812965393,0.4446,20.9203,3.62
30,0.6146959662437439,0.4973,21.0565,3.71
30,0.6126680970191956,0.5665,21.0825,3.8
30,0.6106637120246887,0.5109,21.4095,3.89
30,0.609160304069519,0.4426,21.1644,3.98
30,0.6072769165039062,0.5276,21.3193,4.07
30,0.6055590510368347,0.3953,21.2488,4.16
30,0.6033832430839539,0.4722,21.7613,4.25
30,0.6017220616340637,0.5514,21.6184,4.34
30,0.600380003452301,0.5843,21.891,4.43
30,0.5983578562736511,0.5818,21.7768,4.52
30,0.5966570973396301,0.6015,22.0726,4.61
30,0.5952569246292114,0.5473,22.0663,4.7
30,0.5935549736022949,0.6827,22.2377,4.79
30,0.5919564366340637,0.6917,22.1828,4.88
30,0.5903916954994202,0.5064,22.0199,4.97
30,0.5887871384620667,0.5249,22.1373,5.06
30,0.5874608755111694,0.6014,22.2523,5.15
30,0.5857630968093872,0.5947,22.5401,5.24
30,0.5843544602394104,0.639,22.803,5.33
30,0.5830156803131104,0.6011,22.9732,5.42
30,0.5824346542358398,0.5704,23.1058,5.51
30,0.5805865526199341,0.5077,22.9898,5.6
30,0.579650342464447,0.6452,23.1412,5.69
30,0.5782944560050964,0.6197,22.9263,5.79
30,0.5770593881607056,0.6415,23.2077,5.88
30,0.5758084058761597,0.6878,23.1664,5.97
30,0.5742831826210022,0.6022,23.2732,6.06
30,0.5735243558883667,0.5477,23.043,6.15
30,0.5723497867584229,0.6173,23.4316,6.24
30,0.5713286995887756,0.5941,23.6243,6.33
30,0.5701624751091003,0.5709,23.6328,6.42
30,0.5687044858932495,0.5895,23.8766,6.51
30,0.5680432915687561,0.6076,23.8065,6.6
30,0.56708163022995,0.5831,23.9339,6.69
30,0.5659409165382385,0.6361,24.1313,6.78
30,0.5649040937423706,0.6271,24.227,6.87
30,0.563861608505249,0.6496,24.1779,6.96
30,0.5631710290908813,0.6544,24.3191,7.05
30,0.5624008774757385,0.6712,24.3874,7.14
30,0.5614976286888123,0.6385,24.3813,7.23
30,0.5606642961502075,0.5959,24.505,7.32
30,0.5595648884773254,0.6244,24.7194,7.41
30,0.5587548613548279,0.6218,24.6816,7.5
30,0.5579819083213806,0.6393,24.4116,7.59
30,0.5571691989898682,0.652,24.8885,7.68
30,0.5564734935760498,0.6477,25.0305,7.77
30,0.5557647347450256,0.6859,24.787,7.86
30,0.5552278757095337,0.6624,25.0463,7.95
30,0.5544674396514893,0.7753,25.1134,8.04
30,0.5536502003669739,0.6754,25.1785,8.14
30,0.552844762802124,0.7879,25.4603,8.23
30,0.5525745749473572,0.6759,25.2511,8.32
30,0.5519006252288818,0.68,25.4983,8.41
30,0.5508902072906494,0.7101,25.3426,8.5
30,0.5504520535469055,0.6733,25.2469,8.59
30,0.5497913360595703,0.6816,25.4491,8.68
30,0.5493277907371521,0.6513,25.2509,8.77
30,0.5489106774330139,0.6841,25.4223,8.86
1,0.7130394577980042,0.5664,15.3281,0.09
1,0.6644061207771301,0.5011,17.8319,0.18
1,0.6322686672210693,0.7499,20.546,0.27
1,0.610963761806488,0.6447,21.7818,0.36
1,0.593217134475708,0.6325,21.8996,0.45
1,0.5751286745071411,0.823,23.0467,0.54
1,0.5634360313415527,0.9142,23.9647,0.63
1,0.5500892400741577,1.2676,25.1012,0.72
1,0.5407416224479675,1.362,26.5235,0.81
1,0.5320138931274414,1.4033,27.0786,0.9
1,0.5243735909461975,1.6924,28.1987,0.99
1,0.5183138847351074,1.6076,28.5396,1.08
1,0.5122859477996826,1.5868,29.0452,1.18
1,0.5070867538452148,1.8836,29.6707,1.27
1,0.5024423599243164,1.9174,30.0844,1.36
1,0.49917417764663696,1.6985,30.5366,1.45
1,0.495947927236557,1.7812,30.7742,1.54
1,0.49137061834335327,1.851,31.0457,1.63
1,0.48726779222488403,1.7383,31.2404,1.72
1,0.4863201379776001,2.0522,31.7297,1.81
1,0.4846280515193939,1.9814,31.7284,1.9
1,0.4818226099014282,1.9542,32.1488,1.99
1,0.4803251326084137,2.2159,32.7247,2.08
1,0.4795030653476715,2.0941,32.5192,2.17
1,0.47577598690986633,1.9416,32.9199,2.26
1,0.47444555163383484,1.9469,32.9539,2.35
1,0.4743958115577698,2.0587,33.2621,2.44
1,0.4736888110637665,2.0531,33.2864,2.53
1,0.4741096496582031,2.0979,33.4935,2.62
1,0.4719192087650299,1.9782,33.4563,2.71
1,0.4720601439476013,2.0107,33.6723,2.8
1,0.4692494571208954,2.2113,33.9029,2.89
1,0.46768423914909363,2.3772,34.0912,2.98
1,0.4689342677593231,1.8784,33.874,3.07
1,0.468140184879303,2.1814,34.0189,3.16
1,0.46890273690223694,2.0289,34.005,3.25
1,0.46769440174102783,2.0646,34.2069,3.34
1,0.46792101860046387,2.1403,34.2191,3.43
1,0.4658443331718445,2.135,34.1979,3.53
1,0.4667733907699585,2.1665,34.2284,3.62
1,0.46399450302124023,2.3739,34.5252,3.71
1,0.46505534648895264,2.2095,34.4992,3.8
1,0.4656330943107605,2.3843,34.9056,3.89
1,0.46393805742263794,2.5022,34.4649,3.98
1,0.4660883843898773,2.4062,34.6327,4.07
1,0.4652264714241028,2.2463,34.77,4.16
1,0.46524956822395325,2.3644,34.9775,4.25
1,0.46496617794036865,2.441,34.5583,4.34
1,0.4636659622192383,2.2514,34.7807,4.43
1,0.4624592363834381,2.3577,35.1427,4.52
1,0.46583789587020874,2.3516,34.8672,4.61
1,0.46617093682289124,2.276,34.904,4.7
1,0.4642464816570282,2.1574,35.0758,4.79
1,0.4631986916065216,2.332,34.9849,4.88
1,0.462969571352005,2.2605,35.2267,4.97
1,0.4640713930130005,2.3094,35.0932,5.06
1,0.4659222662448883,2.345,35.1427,5.15
1,0.465553879737854,2.5004,35.2546,5.24
1,0.46383967995643616,2.4164,35.0341,5.33
